date,time,occupancy
07/28/05,13:30:00,51
07/28/05,14:00:00,56
07/28/05,14:30:00,62
07/28/05,15:00:00,65
07/28/05,15:30:00,69
07/28/05,16:00:00,72
07/28/05,16:30:00,75
07/28/05,17:00:00,77
07/28/05,17:30:00,80
07/28/05,18:00:00,81
07/28/05,18:30:00,81
07/28/05,19:00:00,81
07/28/05,19:30:00,81
07/28/05,20:00:00,81
07/28/05,20:30:00,81
07/28/05,21:00:00,82
07/28/05,21:30:00,66
07/28/05,22:00:00,50
07/28/05,22:30:00,34
07/28/05,23:00:00,17
07/28/05,23:30:00,0
07/29/05,00:00:00,0
07/29/05,00:30:00,0
07/29/05,01:00:00,0
07/29/05,01:30:00,0
07/29/05,02:00:00,0
07/29/05,02:30:00,0
07/29/05,03:00:00,0
07/29/05,03:30:00,0
07/29/05,04:00:00,0
07/29/05,04:30:00,0
07/29/05,05:00:00,0
07/29/05,05:30:00,0
07/29/05,06:00:00,0
07/29/05,06:30:00,0
07/29/05,07:00:00,0
07/29/05,07:30:00,0
07/29/05,08:00:00,1
07/29/05,08:30:00,3
07/29/05,09:00:00,6
07/29/05,09:30:00,9
07/29/05,10:00:00,13
07/29/05,10:30:00,13
07/29/05,11:00:00,15
07/29/05,11:30:00,19
07/29/05,12:00:00,20
07/29/05,12:30:00,25
07/29/05,13:00:00,29
07/29/05,13:30:00,36
07/29/05,14:00:00,40
07/29/05,14:30:00,42
07/29/05,15:00:00,44
07/29/05,15:30:00,47
07/29/05,16:00:00,52
07/29/05,16:30:00,54
07/29/05,17:00:00,54
07/29/05,17:30:00,55
07/29/05,18:00:00,56
07/29/05,18:30:00,57
07/29/05,19:00:00,58
07/29/05,19:30:00,59
07/29/05,20:00:00,59
07/29/05,20:30:00,60
07/29/05,21:00:00,61
07/29/05,21:30:00,48
07/29/05,22:00:00,35
07/29/05,22:30:00,24
07/29/05,23:00:00,11
07/29/05,23:30:00,0
07/30/05,00:00:00,0
07/30/05,00:30:00,0
07/30/05,01:00:00,0
07/30/05,01:30:00,0
07/30/05,02:00:00,0
07/30/05,02:30:00,0
07/30/05,03:00:00,0
07/30/05,03:30:00,0
07/30/05,04:00:00,0
07/30/05,04:30:00,0
07/30/05,05:00:00,0
07/30/05,05:30:00,1
07/30/05,06:00:00,1
07/30/05,06:30:00,3
07/30/05,07:00:00,3
07/30/05,07:30:00,3
07/30/05,08:00:00,5
07/30/05,08:30:00,5
07/30/05,09:00:00,5
07/30/05,09:30:00,6
07/30/05,10:00:00,6
07/30/05,10:30:00,8
07/30/05,11:00:00,9
07/30/05,11:30:00,11
07/30/05,12:00:00,13
07/30/05,12:30:00,14
07/30/05,13:00:00,15
07/30/05,13:30:00,16
07/30/05,14:00:00,19
07/30/05,14:30:00,19
07/30/05,15:00:00,21
07/30/05,15:30:00,23
07/30/05,16:00:00,25
07/30/05,16:30:00,26
07/30/05,17:00:00,28
07/30/05,17:30:00,29
07/30/05,18:00:00,30
07/30/05,18:30:00,30
07/30/05,19:00:00,30
07/30/05,19:30:00,31
07/30/05,20:00:00,31
07/30/05,20:30:00,32
07/30/05,21:00:00,33
07/30/05,21:30:00,27
07/30/05,22:00:00,20
07/30/05,22:30:00,14
07/30/05,23:00:00,7
07/30/05,23:30:00,0
